Audi A5;2020;190;2;robot;6;4697;2029;1371
BMW E34;1990;170;2.5;manual;9.8;4720;1751;1412
Jaguar XJ40;1987;147;2.9;manual;10.3;5255;1899;1460
Hyundai Elantra;2015;150;1.8;variator;7.1;4530;1775;1445
Land Rover Range Rover;2003;177;2.9;automatic;11.3;4950;1955;1860
Skoda Octavia;2010;152;1.8;robot;6.8;4569;1769;1462
Volkswagen Passat;1991;174;2.8;manual;9.7;4575;1705;1480
Mercedes-Benz W124;1995;136;2;automatic;9.6;4765;1765;1490
Nissan Laurel C33;1989;200;2.5;automatic;8;4690;1695;1365
